hour,power_kw,cumulative_kwh
00:00,26.929,26.929
01:00,20.955,47.884
02:00,21.038,68.923
03:00,18.303,87.226
04:00,17.095,104.32
05:00,16.828,121.148
06:00,15.841,136.989
07:00,43.572,180.56
08:00,45.012,225.572
09:00,50.658,276.231
10:00,50.477,326.707
11:00,51.961,378.668
12:00,53.318,431.986
13:00,53.466,485.452
14:00,52.699,538.151
15:00,51.93,590.081
16:00,50.682,640.763
17:00,47.809,688.572
18:00,46.47,735.042
19:00,43.598,778.639
20:00,17.476,796.115
21:00,18.237,814.352
22:00,17.893,832.245
23:00,18.353,850.598
