hour,power_kw,cumulative_kwh
00:00,29.084,29.084
01:00,31.816,60.9
02:00,25.922,86.822
03:00,32.545,119.367
04:00,37.154,156.521
05:00,40.434,196.955
06:00,41.847,238.802
07:00,45.901,284.704
08:00,46.004,330.708
09:00,48.374,379.082
10:00,49.133,428.215
11:00,47.766,475.981
12:00,48.476,524.457
13:00,50.382,574.84
14:00,47.767,622.607
15:00,49.671,672.278
16:00,47.808,720.086
17:00,46.444,766.53
18:00,40.623,807.154
19:00,60.491,867.644
20:00,53.699,921.344
21:00,51.324,972.668
22:00,50.664,1023.332
23:00,49.125,1072.457
