hour,power_kw,cumulative_kwh
00:00,37.001,37.001
01:00,33.511,70.513
02:00,33.554,104.067
03:00,30.0,134.067
04:00,42.639,176.706
05:00,41.934,218.639
06:00,38.861,257.5
07:00,45.12,302.62
08:00,45.984,348.604
09:00,45.65,394.254
10:00,53.421,447.676
11:00,50.984,498.66
12:00,52.509,551.169
13:00,51.887,603.056
14:00,56.592,659.648
15:00,54.312,713.96
16:00,55.569,769.529
17:00,79.946,849.475
18:00,80.444,929.919
19:00,74.465,1004.384
20:00,77.945,1082.329
21:00,73.07,1155.399
22:00,71.157,1226.556
23:00,39.366,1265.922
