hour,power_kw,cumulative_kwh
00:00,38.686,38.686
01:00,39.511,78.197
02:00,45.17,123.366
03:00,43.855,167.222
04:00,39.797,207.019
05:00,47.485,254.505
06:00,49.372,303.877
07:00,55.416,359.293
08:00,54.379,413.672
09:00,63.177,476.849
10:00,101.266,578.115
11:00,107.402,685.517
12:00,105.375,790.892
13:00,106.43,897.322
14:00,100.308,997.63
15:00,109.298,1106.928
16:00,95.243,1202.171
17:00,65.585,1267.756
18:00,57.959,1325.714
19:00,52.534,1378.249
20:00,49.28,1427.529
21:00,45.618,1473.147
22:00,45.458,1518.605
23:00,41.701,1560.307
