hour,power_kw,cumulative_kwh
00:00,41.584,41.584
01:00,44.172,85.757
02:00,46.46,132.217
03:00,48.071,180.288
04:00,54.779,235.067
05:00,58.536,293.603
06:00,61.663,355.266
07:00,67.062,422.328
08:00,70.374,492.702
09:00,73.167,565.869
10:00,74.864,640.733
11:00,76.525,717.258
12:00,74.985,792.243
13:00,74.635,866.878
14:00,72.235,939.113
15:00,70.655,1009.768
16:00,66.413,1076.18
17:00,61.957,1138.137
18:00,57.062,1195.199
19:00,53.384,1248.582
20:00,49.645,1298.227
21:00,45.733,1343.96
22:00,44.739,1388.699
23:00,42.378,1431.077
